iter	Passed	Remaining
0	157	157384
1	159	79539
2	160	53488
3	162	40567
4	164	32770
5	166	27570
6	168	23843
7	169	21038
8	171	18871
9	173	17145
10	174	15731
11	176	14562
12	178	13550
13	180	12699
14	182	11966
15	184	11355
16	186	10768
17	187	10243
18	189	9798
19	192	9426
20	194	9051
21	195	8702
22	197	8377
23	198	8084
24	200	7819
25	202	7568
26	203	7340
27	205	7149
28	207	6950
29	209	6774
30	211	6598
31	212	6439
32	214	6292
33	216	6156
34	218	6035
35	220	5917
36	223	5804
37	225	5707
38	227	5605
39	229	5500
40	231	5410
41	233	5333
42	235	5247
43	237	5164
44	239	5091
45	241	5018
46	243	4942
47	245	4877
48	248	4821
49	250	4760
50	252	4699
51	254	4641
52	256	4590
53	258	4532
54	260	4477
55	262	4429
56	264	4379
57	266	4331
58	269	4294
59	271	4255
60	273	4213
61	275	4174
62	278	4140
63	280	4099
64	282	4062
65	284	4022
66	286	3994
67	288	3959
68	291	3927
69	292	3891
70	294	3858
71	296	3824
72	298	3788
73	300	3757
74	302	3727
75	303	3695
76	305	3667
77	307	3640
78	309	3611
79	311	3580
80	313	3556
81	315	3533
82	316	3500
83	318	3478
84	321	3459
85	324	3447
86	327	3440
87	330	3427
88	333	3414
89	336	3406
90	341	3409
91	345	3406
92	347	3392
93	352	3400
94	358	3419
95	362	3415
96	366	3408
97	373	3433
98	379	3451
99	382	3445
100	386	3442
101	392	3452
102	397	3459
103	400	3453
104	404	3446
105	409	3455
106	415	3464
107	419	3462
108	423	3459
109	429	3475
110	434	3483
111	438	3477
112	442	3473
113	447	3479
114	451	3477
115	455	3470
116	462	3494
117	469	3507
118	473	3504
119	477	3503
120	481	3498
121	485	3495
122	492	3511
123	499	3530
124	507	3554
125	511	3549
126	515	3546
127	521	3550
128	525	3548
129	532	3562
130	536	3560
131	540	3554
132	544	3548
133	551	3563
134	556	3566
135	560	3559
136	564	3555
137	568	3548
138	570	3536
139	574	3527
140	579	3528
141	581	3515
142	585	3506
143	591	3518
144	596	3514
145	598	3502
146	601	3491
147	606	3493
148	609	3482
149	612	3471
150	615	3459
151	617	3446
152	622	3446
153	625	3436
154	628	3424
155	631	3414
156	634	3406
157	637	3398
158	640	3386
159	642	3374
160	644	3357
161	646	3346
162	650	3339
163	652	3328
164	655	3317
165	657	3305
166	661	3299
167	665	3293
168	667	3282
169	669	3270
170	672	3258
171	674	3248
172	676	3235
173	679	3224
174	681	3213
175	683	3199
176	685	3187
177	687	3176
178	690	3165
179	692	3153
180	695	3146
181	697	3135
182	699	3124
183	702	3114
184	704	3103
185	707	3094
186	709	3086
187	712	3076
188	714	3067
189	718	3062
190	720	3051
191	722	3040
192	725	3033
193	727	3023
194	729	3013
195	732	3006
196	735	2996
197	737	2986
198	739	2977
199	741	2967
200	744	2958
201	746	2948
202	748	2938
203	750	2928
204	753	2922
205	755	2912
206	758	2905
207	760	2896
208	762	2886
209	764	2877
210	767	2869
211	769	2861
212	772	2853
213	774	2843
214	777	2837
215	779	2829
216	782	2823
217	784	2814
218	788	2812
219	791	2806
220	794	2801
221	800	2805
222	803	2799
223	805	2790
224	809	2787
225	811	2778
226	814	2772
227	816	2763
228	818	2754
229	820	2746
230	822	2737
231	824	2728
232	828	2726
233	832	2723
234	834	2716
235	836	2709
236	839	2701
237	843	2701
238	846	2695
239	849	2690
240	853	2687
241	857	2686
242	862	2686
243	865	2681
244	868	2677
245	872	2674
246	882	2689
247	885	2685
248	890	2684
249	893	2679
250	896	2675
251	899	2669
252	904	2670
253	909	2670
254	912	2665
255	915	2660
256	922	2667
257	927	2667
258	931	2664
259	941	2680
260	948	2686
261	956	2694
262	963	2700
263	970	2704
264	977	2711
265	983	2713
266	988	2713
267	995	2717
268	1000	2718
269	1005	2718
270	1012	2724
271	1017	2724
272	1021	2719
273	1027	2721
274	1032	2722
275	1037	2722
276	1043	2722
277	1048	2723
278	1063	2747
279	1067	2745
280	1075	2752
281	1081	2753
282	1091	2765
283	1095	2762
284	1102	2764
285	1107	2764
286	1110	2759
287	1115	2757
288	1119	2754
289	1122	2749
290	1126	2743
291	1130	2740
292	1135	2739
293	1138	2734
294	1141	2728
295	1147	2728
296	1153	2729
297	1158	2728
298	1162	2725
299	1165	2719
300	1171	2719
301	1174	2715
302	1178	2710
303	1181	2706
304	1187	2706
305	1191	2701
306	1193	2694
307	1198	2692
308	1201	2687
309	1205	2682
310	1214	2690
311	1219	2689
312	1222	2683
313	1225	2677
314	1228	2672
315	1231	2665
316	1234	2658
317	1237	2653
318	1239	2646
319	1242	2641
320	1246	2636
321	1249	2630
322	1251	2622
323	1253	2616
324	1260	2618
325	1264	2614
326	1267	2609
327	1270	2603
328	1275	2601
329	1278	2596
330	1281	2590
331	1285	2586
332	1292	2587
333	1296	2585
334	1300	2580
335	1304	2577
336	1308	2574
337	1312	2570
338	1318	2570
339	1338	2598
340	1353	2616
341	1366	2629
